"","geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm"
"68",41,"2020-02-07","15:30",0,2,0,0,"0",0,"0","0",0,"Paraná"
"69",42,"2020-02-07","15:30",1,3,0,0,"0",0,"0","0",0,"Santa Catarina"
"70",43,"2020-02-07","15:30",2,6,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"71",23,"2020-02-08","13:30",0,1,0,0,"0",0,"0","0",0,"Ceará"
"72",31,"2020-02-08","13:30",1,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"73",33,"2020-02-08","13:30",1,2,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"74",35,"2020-02-08","13:30",2,13,0,0,"0",0,"0","0",0,"São Paulo"
"75",41,"2020-02-08","13:30",0,2,0,0,"0",0,"0","0",0,"Paraná"
"76",42,"2020-02-08","13:30",1,3,0,0,"0",0,"0","0",0,"Santa Catarina"
"77",43,"2020-02-08","13:30",3,6,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"78",23,"2020-02-09","13:30",0,1,0,0,"0",0,"0","0",0,"Ceará"
"79",31,"2020-02-09","13:30",1,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"80",33,"2020-02-09","13:30",2,2,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"81",35,"2020-02-09","13:30",3,13,0,0,"0",0,"0","0",0,"São Paulo"
"82",41,"2020-02-09","13:30",1,2,0,0,"0",0,"0","0",0,"Paraná"
"83",42,"2020-02-09","13:30",1,3,0,0,"0",0,"0","0",0,"Santa Catarina"
"84",43,"2020-02-09","13:30",3,6,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"85",23,"2020-02-10","15:30",0,1,0,0,"0",0,"0","0",0,"Ceará"
"86",31,"2020-02-10","15:30",1,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"87",33,"2020-02-10","15:30",1,3,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"88",35,"2020-02-10","15:30",3,13,0,0,"0",0,"0","0",0,"São Paulo"
"89",41,"2020-02-10","15:30",1,2,0,0,"0",0,"0","0",0,"Paraná"
"90",42,"2020-02-10","15:30",0,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"91",43,"2020-02-10","15:30",1,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"92",23,"2020-02-11","16:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
