"geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm","uf"
41,2020-02-08,"13:30",0,2,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-08,"13:30",1,3,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-08,"13:30",3,6,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
23,2020-02-09,"13:30",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-09,"13:30",1,1,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-09,"13:30",2,2,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-09,"13:30",3,13,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-09,"13:30",1,2,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-09,"13:30",1,3,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-09,"13:30",3,6,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
23,2020-02-10,"15:30",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-10,"15:30",1,1,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-10,"15:30",1,3,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-10,"15:30",3,13,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-10,"15:30",1,2,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-10,"15:30",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-10,"15:30",1,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
23,2020-02-11,"16:00",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-11,"16:00",1,1,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-11,"16:00",2,3,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-11,"16:00",3,14,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-11,"16:00",1,2,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-11,"16:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-11,"16:00",1,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
23,2020-02-12,"16:00",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-12,"16:00",1,1,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
33,2020-02-12,"16:00",2,3,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-12,"16:00",6,14,0,0,"0",0,"0","0",0,"São Paulo","SP"
41,2020-02-12,"16:00",1,2,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-12,"16:00",0,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-12,"16:00",1,8,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
23,2020-02-13,"16:00",0,1,0,0,"0",0,"0","0",0,"Ceará","CE"
31,2020-02-13,"16:00",0,2,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
